price_amount,makeid,manufacturerprice,km,vehicleyear,etiqueta_type_id,provinceid,horsepower,maxspeed,acceleration,combustible_type_id,body_type_id,transmision_type_id,doors,seatingcapacity,colores_type_id,dimensionsinmillimeterswidth,dimensionsinmillimetersheight,dimensionsinmillimeterslength,weight,tankcapacityinliters,trunkcapacityinliters,consumptionurban,consumptionmixed,consumptionextraurban,co2emissionsgramsperkm,batteryvoltage,batterykwh,chargingtime,chargingtimefast
18650.0,105.0,35500.0,56426.0,2014.0,4.0,3.0,115.0,140.0,10.4,3.0,1.0,1.0,5.0,5.0,4.0,1799.0,1450.0,4270.0,1585.0,39.2,341.0,2.46,1.14,2.98,37.6,323.0,24.2,780.0,30.0
18650.0,105.0,35500.0,56426.0,2014.0,4.0,28.0,115.0,140.0,10.4,3.0,1.0,1.0,5.0,5.0,4.0,1799.0,1450.0,4270.0,1585.0,39.2,341.0,2.46,1.14,2.98,37.6,323.0,24.2,780.0,30.0
17990.0,105.0,38012.0,95000.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,36.0,341.0,2.46,1.08,2.72,52.0,323.0,35.8,1020.0,45.0
17500.0,105.0,40250.0,229000.0,2017.0,3.0,46.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1799.0,1484.0,4276.0,1615.0,40.0,272.0,4.9399999999999995,1.72,6.24,38.0,352.0,8.7,210.0,150.0
19890.0,105.0,38012.0,47403.0,2017.0,4.0,3.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.8,341.0,2.54,1.0,2.98,41.4,323.0,35.8,1020.0,45.0
19999.0,105.0,38012.0,61000.0,2017.0,4.0,30.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,36.4,341.0,2.46,1.26,2.98,39.0,323.0,35.8,1020.0,45.0
19999.0,105.0,38012.0,31000.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.4,341.0,3.1599999999999997,1.1,2.98,46.8,323.0,35.8,1020.0,45.0
15300.0,105.0,38012.0,146000.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,40.2,341.0,2.4199999999999995,1.0799999999999998,3.14,33.4,323.0,35.8,1020.0,45.0
18750.0,105.0,39330.0,138561.0,2016.0,4.0,28.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1799.0,1457.0,4270.0,1599.0,40.0,272.0,2.8,1.0799999999999998,3.1399999999999997,37.0,352.0,8.7,210.0,150.0
19900.0,15.0,53950.0,185045.0,2020.0,3.0,28.0,292.0,230.0,5.9,5.0,1.0,1.0,4.0,5.0,4.0,1827.0,1444.0,4709.0,1815.0,40.0,480.0,2.08,1.6800000000000002,2.56,37.0,29.4,11.5,1068.0,56.4
17990.0,105.0,38012.0,67000.0,2017.0,4.0,8.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.2,341.0,2.46,1.3399999999999999,2.98,48.8,323.0,35.8,1020.0,45.0
17900.0,105.0,38012.0,81000.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,36.6,341.0,2.46,1.3599999999999999,2.72,47.4,323.0,35.8,1020.0,45.0
19890.0,105.0,38012.0,47403.0,2017.0,4.0,48.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.8,341.0,2.54,1.0,2.98,41.4,323.0,35.8,1020.0,45.0
22499.0,105.0,40250.0,119000.0,2017.0,4.0,28.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1799.0,1484.0,4276.0,1615.0,40.0,272.0,2.4199999999999995,1.6800000000000002,2.88,38.0,352.0,8.7,210.0,150.0
23995.0,105.0,40250.0,80000.0,2017.0,4.0,28.0,204.0,222.0,7.6,5.0,1.0,1.0,5.0,5.0,4.0,1799.0,1484.0,4276.0,1615.0,40.0,272.0,2.46,1.8599999999999999,2.98,38.0,352.0,8.7,210.0,150.0
21850.0,105.0,38012.0,29000.0,2017.0,4.0,41.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,37.4,341.0,3.1599999999999997,1.1,2.98,46.8,323.0,35.8,1020.0,45.0
21490.0,105.0,38012.0,37046.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,36.8,341.0,3.16,0.9,2.98,35.2,323.0,35.8,1020.0,45.0
18800.0,105.0,38012.0,55800.0,2017.0,4.0,24.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,26.6,341.0,2.54,0.9400000000000001,2.98,31.2,323.0,35.8,1020.0,45.0
21450.0,105.0,38012.0,53551.0,2017.0,4.0,28.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,36.6,341.0,2.54,0.9400000000000001,2.98,47.4,323.0,35.8,1020.0,45.0
19200.0,105.0,38012.0,34000.0,2017.0,4.0,13.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,38.0,341.0,3.16,1.1,2.98,34.2,323.0,35.8,1020.0,45.0
19790.0,105.0,38012.0,55000.0,2017.0,4.0,37.0,136.0,150.0,9.6,3.0,1.0,1.0,5.0,5.0,4.0,1790.0,1428.0,4270.0,1615.0,32.2,341.0,2.54,0.9400000000000001,2.98,34.4,323.0,35.8,1020.0,45.0
